"","participant","empathy_1","comment_1","empathy_2","comment_2","empathy_3","comment_3","empathy_4","comment_4","empathy_5","comment_5","empathy_6","comment_6","empathy_7","comment_7","empathy_8","comment_8","empathy_9","comment_9","empathy_10","comment_10","empathy_11","comment_11","empathy_12","comment_12","empathy_13","comment_13","empathy_14","comment_14","empathy_15","comment_15","empathy_16","comment_16"
"1","participant 1",4,"I have a high level of empathy because i understand the situation, the breathe and feelings of the protagonista are vert clear and extremly espressive. The anxiety of meeting a guy you likes gas happened ti vergine at leader once in their Life, also meet an asshole (more than once, i think).",2,"Bere the situation Is neutral, sounds are very common and familiari, buy in my opinioni bere the situation Is quiet.",4,"Here the situation Is common and funny, i think for example at the funny situation into the bus with my Friends. It evokes in me a funny remembers and comical situation that i lived.",1,"This situation on One side Is strange for me and for this reason i can't share empathy and i can't understand this feeling. But On the foyer side It Is a quarrel between a couple and finally a break.",3,"I think that this Is not a joke or a funny phrase, i find It not very elegante and offensive. In facto the protagonist Is not really Happy about this. I think that She finds all stupido men.",3,"It Is a strange situation and It shoks me, because i did not expect that the protagonist shows Is Branette in front of a new boss. She Is akward.",5,"She Is angry with per father, i can understand this very cleary because my father abandon me eheh i was 8. So i have a high level of empathy here, i think that She suffers a lot causerà by here family.",5,"It Is a funny situation, She Is very good to share feelings and emotions. I can forecast what Will happen, between they.",5,"It Is very funny and it Is clear that the two sisters don't get along very well. Probably the Major One Is the anorexic, maybe. She Is precise, serious and perfect. The protagonist Is clumsy, funny and messed up.",3,"It was funny for the First Time and then It Is quote serious because She takes Money from wallet of a man. I don't share this emotions. I share the emotions of funny episod at the beginning with the sister.",5,"Here the feelings and emotions of the character Is very strong. She Is sensitive and nella other people. She Is kind and Is interesting the fact that the drunk girl undestrands that She has problem and She hasn't a good day.",2,"This episod Is neutral, i think that She Is Remember something, that has already happened. She seems Happy with her Friend.",5,"She Is extremly espressive and She Is sad. She needs a help for all her problems and she forse to her father.",1,"The situation Is quite and here nothing happen. In my opinion Is neutral.",5,"The stepmother feels and understands that She has something wrong. But anyone wants to speak about this. Both avoid the problems and preoccupation.",2,"I imagined that She steals the body, i'm not sure that the storto of her Friend Is the, maybe yes because She has often Remember about this. She Is extremly smart and clever. I find She lonely and not sure about her special orientation."
"2","participant 2",2,"I do not have HEAVY BREATHING 'cause I did not climb the stares running like you did.",3,"Escape from him!!",3,"Too late for you girl!",3,"Luckily Harry has gone away! Does is he is the lady of the couple? Sorry..he is too dramatic. I do not like him at all.",3,"That was awkward!",2,"Fleabag...what have you done? Com'on...you should know that you are not wearing a top underneath. Loser.",4,"Bad family relationships...I feel you Fleabag.",4,"I think that your sister busted you. The way she is pretending it makes the whole scene so much funnier!!",3,"Your sister knows everything. I guess she understands more you than you do about yourself.",3,"I feel you so much Fleabag..I have a similar relationship with my sister: hate and love!Are you self-destructive Fleabag? Why do you hang out with someone you dislike so much? I do not get our intentions...he gives you back the money you stoled him. He seems a good person at the end.",4,"Fleabag...you to are a good person at the end! You take care of that girl..",5,"I feel so sorry for you, Fleabag. Really really sorry. You've lost the only person who understood you. You've lost your best friend and the only person who accepted you for who you were.",4,"Your dad is detestable because it feels like he doesn't care much about you.&nbsp;And about your stepmother...well I do agree with you! She is a little bitchy.",5,"She is so fake! Slap her Fleabag! Please!!",5,"Oh my God! That fake laughing...I'll keep repeat it: she is super fake! Fleabag please...Give her a punch in her face, she deserves it.I know Fleabag, I have a quite aggressive attitude.",5,"I think that you will never accept the loss of your best friend...especially the way in which she died.&nbsp;I'm pretty sure you have something to do with her death.."
"3","participant 3",3,"I don't feel in line with her thoughts and I'm not sympathizing with her at the moment.",4,"The sound of the bell makes me fell a sort of wince.",4,"Here I'm symapthizing with her because I would think the same as the guy is not so interesting.",1,"I'm in line with the guy's thoughts as he's suffering because of her. But she is not interested in him.",3,"I don't understand very well her expression here, if she is happy to receive the number of the guy or not.",2,"I think that she is jealous of her sister's perfection.",4,"Here I agree with her bad opinion towards her father",3,"I don't feel a sweater is something so important as to be the reason of a fight with her sister",4,"I feel her difficulty in asking her sister for a borrowing of money. She's stubborn and she pretends everything is allright even if it is not.",2,"I would have left as well but probably before!!",3,"I feel kind of weirded out as the protagonist for the drunk's girl sentence&nbsp;",2,"I don't know who is the girl with the protagonist but I don't feel empathy for them",3,"I can't judge her stepmother in the same way she's doing because it's the first time that she appears. But I think that she has a lot of problems to solve with a lot of people, in particular her family.",2,"I can't feel the same feeling for her stepmother because here she seems quite kind and friendly. Maybe she's jealous of her dad.",4,"Here I'm symphatizing with her as she's receiving the usual parents' reccomandation that she will not listen to",3,"I think that she's reporting something really sad in an ironic way just because she's drunk and she tries to hide her sufference.&nbsp;"
"4","participant 4",4,"That's an oddly...pleasant feeling.",3,"Well, maybe he has a nice personality...",4,"...oh, nevermind. Run while you can.",5,"He knows it will!",3,"Well, I'm not sure if that look was for the disappointment (about not being treated like a nasty little b.) or for his poor humor.",4,"She looks depressed too...",5,"That sounds like a common widowed parents' behaviour...",4,"Well, I bet red wouldn't look so good on her, anyway.",5,"It's hard to find the guts to aks for loan, no matter if it's your sister...",2,"That guy is a mess but I feel really bad for him!",5,"She's drunk (and probably horny), she needs help, really bad things could happen to her.",3,"Don't we all need a little help sometimes?",5,"Step-parents can be real Cs.",5,"She's obviously about to argue...",5,"To be fair, her self-portrait looks quite ghastly too.",3,"I don't know hot to feel about Boo; I mean, I'm sorry for her but she was really an idiot!"
"5","participant 5",2,"Ok, you are hilarious, but at the same time I feel embarassed for you!",3,"Run!",4,"I can tell. I feel trapped like you do watching the seen.",3,"Poor guy, I feel sorry for him, but I kind of feel relieved for both of you. ",3,"Why don't you run away?",4,"I'm sorry you didn't get the loan. ",4,"I feel sorry for you. ",3,"You're funny.",3,"Hard situation.",3,"You are hilarious (and cruel) but I feel sorry for your situation.",3,"You look sad.",4,"I feel bad for you. You should ask for help. ",4,"I'm sorry for the indifference of your dad and stepmother.",3,"You are right about her.",2,"You were totally right about her, but you are not an easy person to deal with, too.",5,"I feel sad for you and your crazy friend."
"6","participant 6",2,"Maybe yes (said jokingly).",2,"What is going on?",1,"Why are you laughing?",2,"Well, you could have been more kind I think.",4,"It wasn't absolutely the right thing for him to say.",4,"That's true, but you also look great.",4,"What a great dad he is...",2,"Ops, I guess you got into trouble.",5,"I understand the situation here.",1,"Return them to him, he's nice to you.",3,"Well, she's very drunk.",3,"Sometimes you have to know how to ask for something and you need to have someone to ask, otherwise it's a big problem.&nbsp;",4,"I know what you mean, but you should give it your all.",3,"Just keep talking to her, so it's going well.",4,"Surely they could have done more, hosting you for the night for example.",2,"Such a nice tale to tell to a stranger."
"7","participant 7",4,"she's funny",5,"i feel embarassed for her.",4,"she's funny.",3,"I feel sorry for her.",4,"I feel embarassed for her.",2,"she's funny.",3,"she's cynical but still funny.",4,"i like her, she's weird but still funny&nbsp;",2,"i like her.",2,"she is a little mean and greedy.",4,"i feel sorry for her",4,"she's a little nasty and selfish.",5,"I feel sorry for her.&nbsp;",4,"i like her.&nbsp;",3,"i like her",4,"I feel sorry for her.&nbsp;"
"8","participant 8",2,"I wouldn't let myself go in that way.",4,"Do not look at him again.",4,"Come on, just try to end the conversation.",2,"Stop talking nonsense to a stranger. And why did you tell to Harry that it will work?",3,"Do you really want to go out with him?&nbsp;",1,"Why did you do that? You're really making yourself look bad... And stop being jealous of your sister.",5,"I'm sorry for your family, you should start to build a strong relationship with your sister.",5,"Tell her and say sorry.",4,"Find the strength.",1,"I think YOU are pathetic, not him or your sister. You bottomed out.",3,"Are you trying to recuperate after all your mistakes of today?&nbsp;Don't forget she's drunk, do not take it personal.",4,"I think you have a strong need for a new friend, but perhaps that's not the right way to do that.",5,"What a difficult situation you have! I think your father can't understand... but remember it's two clock in the morning, it is not the right time to talk seriously with him. But there will be a good moment to do so?&nbsp;",2,"She seems cute, but stop faking that you're interested in talking with her.",2,"Why are you thinking about tits? I agree with her, just look after yourself. You need this.",2,"That's a really sad story, but how can you tell her story in that way?"
"9","participant 9",4,"She is thoughtful as many people (me too) are, about the situation and what the other may think about her. Questions about the body parts are typical of anyone, not peculiar to insecure people, even the most proud have them.",5,"I empathize with this situation a lot, since it happens to me frequently to laugh about the most inusual things. She seems fun for what I have seen so far.",5,"I still empathize a lot here, it has happened to me before (I think it is impossible to be always serious and wise even for adults). A lot of times I laugh about something or somebody but not because I want to hurt them, just because I cannot control it. By the way I even laugh about myself when I do something embarrassing or when I look strange.",3,"Very strange situation, I think the guy was too dramatic by the way.",3,"She expected something that he probably will not give her (fun situation).&nbsp;",2,"I cannot empathize very much since I would have behaved very differently (it has never happened to me and I would have reacted differently in the job interview). She seems to lack any sort of filters, but I still find some traits of her personality understandable.",1,"I cannot empathize here (different life experiences), so I cannot fully understand what she means deeply.",5,"Here I do empathize a lot with the sister of the protagonist, since I too have a sister that used to steal my clothes, and I did take it seriously, very seriously to the point she started hiding them to not face discussions. I recovered them by periodically searching them in her closet.",4,"Instead of the protagonist, here I still empathize with the sister.",1,"I think here she just obliged herself to do something she did not want from the beginning; she thus ended up being angry hurting him while she should have rejected him from the start (bus). I do not understand and cannot empathise with her&nbsp;",3,"Strange situation again, I can understand why she stopped but I would have kept some distance.",4,"I think she feels like she could never reach an achievement.",3,"Although having a different family situation, I can empathize with the character's feeling of being neglected and alone (common feelings a lot of us have felt in their lives).",2,"She is being quite diplomatic so far, since she declared not liking her stepmother.",3,"Now I understand why she does not like her.",1,"I do not understand her extreme cynicism, although it might be a way to exorcise what happened."
"10","participant 10",1,"I' do not really feel anything at the moment, I am just a little bit confused by these list of questions adressed towards me&nbsp;",1,"I' m still feeling nothing honestly&nbsp;",2,"I agree that is a sort of embarassing situation but what i do not understand is all this dislike towards a man that has done nothing bad&nbsp;",2,"If before I felt somewhat sorry for her, now I feel aversion for her words and behaviour&nbsp;",1,"I dislike her even more due to the way she moked the affacionated way in which her ex-boyfriend treated her and her relatives&nbsp;",3,"I feel a bit sorry for her in the situation with loan and the jealousy towards her sister, but I don't know why I just can totally feel sorry for her; maybe because of her beahaviour before this or because with a little bit more attention the accident with the loaner could have been avoided&nbsp;",3,"I feel sorry for her to some extent, but again she is not the only one growing up wihtouth a parent. She should also understand how difficult it propably was for his father to look after two children on his own, how he also has problems and how if he doesn't call she has a phone with his number too",5,"This is the piece of conversation that sparks more empathy for me, it is a very relatable situation because I have a little sister that wears my clothes without asking all the time and always lies about where my clothes went when I search for them&nbsp;",3,"I feel sorry for the inferiority complex towards her sister, but in the end is her sister and I don't see anything strange in asking her for help, so I do not really get all this pride-conservation attitude&nbsp;",1,"I am not really able to feel empathy for this charachter, I do not really understand what she is thinking about or better why she thinks like that and behave like that ( like calling someone pathetic just because doesn't wanto to have only sex with her but trying also to know her better.)&nbsp;",2,"She acts like a human being, helping someone, but I'm still thinking about the way she treated the guy a few moments ago and I cannot feel empathy for her",3,"I feel a little bit sorry that the other woman was so drunk that misunderstood her intentions&nbsp;",3,"I feel sorry for this sort of existential crisis she seems to be dealing with at the moment, but at the same time I really don't totally get this way of acting, maybe beacuse I' ve never felt the need or seen the utility to resolve unsolved situation with a fundamental figure like a father at 2 a.m and drunk. At this point, I think that I just do not really like this charachter&nbsp;",3,"I feel the akwardness between the 2, but again, I would have respected the request of the father and avoided the situation. I don't get get all of this need for useless drama&nbsp;&nbsp;",3,"Again I feel sorry for this weird situation with the stepmother, but she could have easely avoided it&nbsp;",5,"Something in the way she describes the loss of her bestfriend really hits me hard"
"11","participant 11",1,"I'm a little bit confused by her behavior. Especially the final question confused me even more, thinking back to what she said at the beginning of the scene",2,"What I thought was ""And now?""",2,"It is clear that she has found herself in a situation that she does not like very much, but anyway she is behaving politely.&nbsp;I can partly understand the feeling she feels.&nbsp;",1,"I still feel a little confused.&nbsp;",1,"I can't get in her shoes because (when she looks at us) she reacts in a strange way. She seems happy and satisfied when he he said ""And I'll be sure to treat you like a nasty little bitch"" and that asthonishes me a lot.&nbsp;",1,"I don't know if she feels admiration or if there's a little jealousy in what she says.",4,"This is the first time I can feel empathy for her. I feel sorry for her because we can imagine that she had a difficult life after the death of her mother and the ""abandonment"" of her father.&nbsp;",2,"I understand what she's feeling because I also have a sister and wearing secretly something of her is a common thing (but I think it happens more when you're a child).&nbsp;",3,"On the one hand I feel empathy towards her because I think she feels inferior to her sister.&nbsp;I also perceive her difficulty in having to admit that she has economic problems.&nbsp;",1,"With that look she seemed happy because what she wanted was to take that money bu I'm really confused.&nbsp;",1,"I'm confused. Why didn't she tell her that she's a woman? (we understand it in part just in the scene after)",2,"I don't know what she's doing. His behavior confuses me. She seems&nbsp; a very strange girl with extreme need of someone.&nbsp;",3,"As strange as she is, I'm very sorry to see her so insecure in this scene.&nbsp; I'm sorry that she has so many problems with herself.&nbsp;I perceive resentment in her words.&nbsp;",1,"I don't feel empathy because I don't undestand what she's doing and what she's going to do.",2,"I'm a little sorry for what the godmother tells her.",1,"I don't feel the slighest regret that her friend is dead.&nbsp;"
"12","participant 12",1,"I don't really have comments on that, she is quite hilarious.",3,"I can understand her awkwardness when she saw someone looking at her on the bus.",1,"I don't know why she said that actually. Probably because she is letting him talk even if she's not interested.",3,"She knows him and probably it has already happened and he came back anyway. She is quite confident.",3,"Really awkward and rude, i can understand why she flinched.",3,"We all make these kind of comments in our head all the time, quite realistic.",5,"I can see a hint of sadness and disappointment in her face, it was probably hard for her and her sister.",5,"Really funny, it happens a lot between sisters.",4,"She is probably trying to not be a burden to her sister even though i can see she's struggling in her life.",2,"I don't know what to think about this scene. He is a kinda strange guy but really honest at the end, and she stole from him, i think it's not right even though you have financial problems.",1,"Funny but she's indifferent.",2,"I understand she having a really hard time and she needs help.",4,"I mean, she's totally right.",5,"Obnoxious.",1,"Fake. She's not even trying to be good to her.",4,"She doesn't want to show too much what she's feeling but i think she's suffering a lot for the loss of her friend."
"13","participant 13",1,"it feels like she feels completely at ease sharing such details, as if she was talking to a really close friends, but I dont' feel at ease and so far I do not feel empathy towards her&nbsp;",1,"So far I do not understand what is going on&nbsp;",2,"I kind of understand the fact of being in a conversation that you would have preferred it hadn't started, but actually she was the first one looking at the guy and smiling at him.&nbsp;",1,"I don't like her behaviour/attitude",1,"I don't get why she gave him her number, since when he started talking to her she said ""I hate myself"". Moreover, I interpret ""And I'll be sure to treat you like a nasty little bitch"" as a huge lack of respect",1,"She judges her sister but at the same time I think she is slightly jealous of her&nbsp;",2,"Sorry to know that, it is clear that she had suffered and that she is still suffering; but still, I do not like her attitude",3,"Sometimes this happens to me with my sister too",3,"I feel sorry to see that it is so difficult for her to ask a favour to her sister",1,"She is in trouble and she needs money, but she is taking advantage of him, stealing his money and I don't find it good in any case",3,"I feel sorry to see that she is really sad&nbsp;",3,"I feel sorry for her because she must be tremendously sad and alone",3,"I feel sorry for her, because it is clear that she has never liked her stepmother; even though she says she is not evil, she does not like to see her with her father&nbsp;",3,"I am sorry to see that her stepmother, even though she calls her ""darling"", does not like her too and she even makes a snide remark",4,"This situation with her stepmother makes me feel sad for her",4,"Even though she tries to be ironic and to smile, she feels terribly sad and alone. I feel sorry for her"
