"","participant","empathy_1","comment_1","empathy_2","comment_2","empathy_3","comment_3","empathy_4","comment_4","empathy_5","comment_5","empathy_6","comment_6","empathy_7","comment_7","empathy_8","comment_8","empathy_9","comment_9","empathy_10","comment_10","empathy_11","comment_11","empathy_12","comment_12","empathy_13","comment_13","empathy_14","comment_14","empathy_15","comment_15","empathy_16","comment_16"
"14","participant 14",4,"I can definitely relate t her story, even if some bits I haven't actually experienced myself. The fact that she looks into the camera to say certain lines really makes me feel like I'm stepping into her shoes.",3,"This time I feel she's looking at me with a sense of challenge or laughter, like if she's wondering ""You know what happens know, don't you?"".",4,"This situation and her last line make this scene very relatable, I wanted to tell her something like ""You and me both"".&nbsp;",3,"This whole scene is very funny, but this time I wanted to tell her ""don't do this him, he's already messed up as is"".",4,"I got really excited for her, but I feel like she might ruin this chance.",3,"The scene at the bank made me feel sorry for her, the last two lines made me roll my eyes. I understand where she's coming from but I don't really connect to her situation.&nbsp;",4,"I immediately don't like her father, even though I haven't met him.&nbsp;",5,"This is the moment I probably related to the most in the whole episodes.",5,"I'm right there with her. I get it.",3,"Again, I can't relate completely, but I understand why she acts the way she acts.",4,"It feels weird to see someone, that so far has acted poorly towards other people, do something kind.&nbsp;",4,"I feel her pain in having to go back on a promise she made with her friend.",4,"I 100% believe her. No proof needed.&nbsp;",5,"I totally relate: everyone has a relative that is exactly like this stepmother.&nbsp;",5,"At this point I'm happy she stole the statue, the stepmother deserves it.&nbsp;",5,"Yeah, I really feel for her. It must suck to go through this alone."
"15","participant 15",2,"Such question does not convey empathy and it appears rather forced",3,"The level of empathy is now higher since the spectator starts feeling involved and he/she is looking forward to knowing what it going to happen",4,"The protagonist's intervention makes us understand that she does not feel at ease in this situation&nbsp;",3,"The level of empathy still remains quite high",3,"We perceive the protagonist's embarrassment&nbsp;",1,"The protagonist's attitude is quite mean&nbsp;",5,"The level of empathy rises since emotions linked to personal experience are involved&nbsp;",4,"The spectator is still involved, due to the continuous direct interventions on the part of the protagonist",5,"The spectator is fully involved now: the protagonist speaks directly to him/her, explicitly trying to establish a dialogue&nbsp;",1,"Again, the protagonist appears arguably selfish&nbsp;",4,"The protagonist, moved by her emotions, behaves kindly: therefore, also the level of empathy gets higher",2,"The level of empathy falls: this happens also because we shift from one scene to another, without a clear logic link&nbsp;",2,"Again, the protagonist is quite mean",3,"We perceive the protagonist's embarrassment",3,"The protagonist's direct glance into the camera is sufficient so as to create an empathic connection with the spectator",4,"The level of empathy with the protagonist increases again: unexpectedly, we get to know a dramatic story related to the protagonist's tragic past. Consequently, emotions are more intense."
"16","participant 16",3,"I don't have any advice here",3,"she appears to be unsatisfied by her life, she doesn't really control it and it's not ok&nbsp;",3,"she's got an unhealthy way to approach people: she doesn't like him but she is lead by an inner perverse instict to interact wth him",2,"as i said before she doesn't care f people but she can't stay alone so she uses people",2,"she cannot approache people, she lies&nbsp;",3,"here seems that her life is collapsing, she definitely doesn't have control",3,"family issues",3,"cleptomany",2,"nothing to add",2,"maybe she's trying to overcome her family issues by using menshe fails in what she does or to me it appears so",3,"she is protective with this woman&nbsp;",3,"great friendship",3,"family issues she doesn't have a relationship with the father&nbsp;",3,"the stepmother isn't a good one the father cut the protagonist out while crating a new family",3,"as in the previous answer",4,"sad story, all the previous behaviours appear to be an attempt to overcome the death of her friend&nbsp;&nbsp;"
"17","participant 17",1,"eehm.. I don't know and I seriously don't want to know...",2,"ugh.. why do weird guys always make eye contact on the bus?",3,"why are you still smiling and talking to him? Just send him away!",2,"don't you feel bad for him?",2,"what is wrong with you? why would you be disappointed that he said it was a joke?",1,"I seriously don't understand what is going on with you",3,"that must have been hard for you&nbsp;",3,"I guess that's something that happens between sisters",4,"I know it's hard to ask for help, but if you were more sincere maybe she'd help you out&nbsp;",4,"I get why you left and I get that you're broke, but you shouldn't steal other people's money&nbsp;",4,"it must be really hard for you&nbsp;",3,"your thoughts and actions don't match up, but you finally decided to ask for help",4,"I'm sorry that you finally opened up and your dad was unmoved.. but why take it out on your stepmother?",3,"what now?",4,"I get what you meant before now..",5,"oh god.."
"18","participant 18",4,"This is not the point. The right question is why do you think this guy has never found someone he could do it with, except you?",3,"Would you please stop staring at him?",4,"I think you're very stupid, you brought this on yourself.",3,"yes, I agree with you",5,"ok, now we really have a problem&nbsp;",4,"oh, yes in fact she seems pretty nice to me",5,"I'm so sorry for you. It shouldn't have been easy for you two&nbsp;",5,"Ok then just keep it hidden under&nbsp; your coat and don't let her see it",5,"Come on! you need those money and you have to ask her!",2,"Are you ok? What's the problem with you? Why are you behaving like this?",2,"I don't think that's a compliment though.",2,"just don't think about it",3,"Do you really think so? well, loving stepmothers is not so easy though",5,"Apparently she doesn't seem so unpleasant, but now you are scaring me",4,"ok, yes now I must confess that you were right about her",1,"you shouldn't be laughing like this&nbsp;"
"19","participant 19",5,"You should not think too much about these kinds of situation but just live them, at the end you made me laugh, really.&nbsp;",3,"I feel embarrassed like if I were in your shoes",5,"I still feel the same kind of embarrassment&nbsp;",4,"You are making me laugh.&nbsp;",4,"Why do you always watch me? Am I your point of reference?",5,"You're quite unlucky&nbsp;",5,"I feel pity for your situation but you make me laugh at the same time.&nbsp;",5,"You are amazing",5,"I feel exactly the same in many, many situations",4,"You are wonderful",4,"What are you thinking about?",2,"You puzzle me.",5,"You are keeping puzzling me&nbsp;",3,"I feel you",3,"I feel pity for you",5,"I love your way of behaving and expressing things, thanks for establishing this connection by looking at me&nbsp;"
"20","participant 20",2,"Yes, you probably do.&nbsp;",2,"I can perceive her disgust towards that man.&nbsp;",2,"If I were you, I would go away.&nbsp;",2,"She seems to confident.",3,"That man is really embarrassing.",2,"She's probably envious of her sister",3,"In this scene I can perceive her resignation.&nbsp;",1,"Hide it because she may notice it.",1,"You can't do it because you're coward.&nbsp;",2,"She's a silly girl, she's mocking the boy and stealing his money. If she doesn't change her mind rapidly, she will face some strong consequences.",2,"Finally you're having a good behaviour.",1,"Why did you say ""fuck it""?",3,"You haven't accepted your father's new wife.&nbsp;",2,"The tension between the 2 is increasing.",2,"The Godmother is right&nbsp;",1,"Now I understand that she behaves in a specific way because of a trauma.&nbsp;"
"21","participant 21",3,"Do what you really want to do or what you really like! everything has an importance and some consequences&nbsp;",5,"I understand your feelings and your reactions a lot! I'd have done the same.",5,"if you don't want to live this experience with that man, go away!&nbsp;",3,"Take a breath and listen to your feelings!",4,"Do you want to be dominated or do you want to control the situation and your feelings?&nbsp;",3,"you have just described your sister, how would you describe yourself?",4,"Sad story, what is your role in this?",4,"It's funny!",5,"You are too predictable!&nbsp;",4,"You have expressed what you felt, very good! maybe you can fix the way you say things, too direct sometimes!",5,"Good action! very good! you have felt someone's pain and help her....what about you? How are you? Are you sad?",4,"What do you hide? what's happened in your past? are you sad?",5,"FInally you have described yourself! Is it all true what you said? Look for more, do not stop here!",4,"What is the role of her in your life? How was the death of your mother? Did you suffer?",3,"Do you look after yourself?&nbsp;",5,"Are you serious? How did you take this dramatic situation? what are your real feelings after your friend's death? Do you want to talk more about this issue?"
"22","participant 22",2,"amused but a I feel a little bit sorry for her (behind humour)&nbsp;",4,"I'm thrilled too",3,"curiosity and interest",2,"excited, amused, but at the end I felt a little sorry for him and her",3,"embarassment and joy&nbsp;",3,"the mockery towards the bank officer has amused me",3,"pity, irony and mockery",4,"amused and curios&nbsp;",2,"I felt sorry for the protagonist",3,"pity and amused",3,"amused",3,"amused",3,"curious to know more",3,"neutral emotions",3,"amused",3,"compassion"
"23","participant 23",5,"I can understand your dissatisfaction, feel disappointed too.",3,"Actually he is not as he seemed to be, the situation is quite funny.",4,"I feel definitely embarassed for you.",3,"I'm confused. What's the real cause of this situation?",3,"Your faces are funny. I like your frankness.",2,"I feel irritated, it definitely wasn't the right thing to do, rather stupid.",2,"This kind of irony irritates me actually.",3,"I feel embarassment. You should pay more attention to avoid such situations.",5,"I can perfectly understand that feeling. Sometimes it is really hard to find the courage to ask tough questions.",1,"This is not something I would do.&nbsp;",4,"I feel pity towards her too. You are doing the right thing now.",4,"Sometimes we do need help and have to ask for it. It is comprehensible.",5,"I feel compassion.",4,"Now I understand your opinion about her. I'm anxious for you about the probable escalation.",3,"I feel disappointed about your behaviour but I see the difficult situation.",4,"I really don't feel comfortable with such an irony but I feel pity."
"24","participant 24",5,"I think you're right, people after occasional sex tend to behave oddly.&nbsp;",2,"I think you're judging his teeth",5,"You don't like him, do you?&nbsp;",3,"I'm cringing",5,"I love your facial expressions! They mirror my face.&nbsp;",1,"You're very harsh on your sister.&nbsp;",5,"Funny ahahah",5,"It happens when you have a sister",5,"You're too proud",5,"That was intense!",5,"I would have called an ambulance",5,"Aahahahah very funny",5,"Aahaahah",5,"I already hate your stepmother",5,"Ok I really hate her now",5,"That teaches me to make my own business"
"25","participant 25",2,"I understand how some things that happen to us in life might be predictable and how some things that you've been told get stuck in your head for quite a lot of time, and surely the last statement made me laugh. But apart from that, I wouldn't say I empathize too much with her in these first 3 minutes.&nbsp;",5,"Yes, in this case I fully understand the situation, and makes me laugh mainly because that happens and I know exactly the feeling. So I empathize with her.",4,"Sadly, I empathize with her and I know the feeling of keeping on doing something you don't really want to do and you're aware of it, but you don't stop God knows why.&nbsp;",3,"From the last statement it's understandable that is not the first time that they break up and their relationship is clearly not an healthy one. I never happened to be in her place, but I understand her fear to be alone, even though she acts like she wants to be alone. I do not agree with her behaviour, but I understand that being alone takes some courage and not everybody is ready to be face to face with him/herself.",5,"Totally, my reaction was completely like hers. Even though some of the things people say make you uncomfortable, you just try to play it cool; most of the time it might be because you just have no idea of how to respond to such things.&nbsp;",3,"I really felt her sadness and frustration when she was asked to leave the bank without being given the loan. As far as the comment to the camera is concerned (it is ok to be anorexic since clothes look good on you) I think is quite harsh, but at the same time is very ironic.&nbsp;",4,"I never experienced what she said , but I can feel her anger and disappointment in her ironic tone and in her look.&nbsp;",4,"I do not have a sister to steal the clothes from, but I get the situation and the consequence being a ""tense situation"".",5,"It is really funny to see represented not only this kind of situation but all the thoughts that normally go on in your mind when your proud impedes you to ask someone something, even more when that person knows exactly what your needs are.&nbsp;",2,"I got the glance, it happened to me before to share such glance with a friend for example. Of course, under other circumstances.",4,"Her traits are indeed very androgynous and she's aware of that. Of course, seeing the course of the whole day, it wasn't something nice to hear at that point.&nbsp;",4,"Her sadness struck in and by saying ""fuck it"" I'd say she came at some sort of realization, don't know which one.&nbsp;",3,"With the ""fuck it"" she says in this scene, we see the realization she had before, in particular, I think she wanted some affection, someone to talk to and that could console her, in a sense, empathize with her.&nbsp;&nbsp;She of course doesn't like her stepmother very much, who probably is not very likable.&nbsp;",3,"She knows her stepmother and knows that she can be very subtle. I get the feeling of being in a room with someone you don't really like and you're both faking for the sake of well manners.&nbsp;",4,"In her eyes I saw some sort of fear, wondering how is it possible that someone you do not get along with can see how you're doing.&nbsp;",4,"In the end, I perceived all her sadness for her lost friend and for how she died. In fact, in that ""she was such a dick"" I felt a lot of bitterness and resentment.&nbsp;"
"26","participant 26",3,"Let's see where this is going",4,"It's him!",3,"What are you doing?",4,"This last line made me smile.",2,"I don't understand why you're doing it but, again, this scene made me laugh.",5,"This is kind of realistic, this is something we all experience. Especially super talented and beautiful sisters!",3,"This is a great dialogue, and I had guessed you family history since the ""dad"" line.",4,"Laughing again.",5,"I don't blame you, it's super difficoult!",4,"In this I recognise the need of not being alone we have some nights, no matter what.",4,"This is a nice scene, you are not alone because you can be helpful for others.",4,"At least there is someone that understands you (I didn't know she was dead).",4,"What are you trying to obtain there?",3,"I want to see why she is a ""cunt"".",4,"I would have said the same about the ""feminist"" vision suggested by the woman.",4,"Now I see, that sucks."
"27","participant 27",2,"I find her funny, but I cannot relate to the feeling she is talking about.",3,"I can understand her reaction and the scene is funny.",3,"I am sympathizing with her, I find her funny and can understand her point of view.",3,"In the first part of the scene, I can perceive her feeling of unease.&nbsp;Then, moving on, I cannot take her side completely, she looks too satisified when she says ""It will"".&nbsp;",5,"I can perceive her awkwardness.",3,"I can understand her attitude towards her sister.",4,"I feel sorry for her.",5,"I can relate, I have a sister too.",4,"I can see why she is acting like that, I feel sorry for her again.",3,"I can feel she is depressed and angry, even if she is mistreating the guy. I feel sorry for both of them.",4,"I perceive a sense of disillusionment coming from her glance, as if she realized she would never be really understood.",5,"I feel pity for her.",4,"I feel pity for her.",4,"I feel sorry for her, but at the same time I know she can manage the situation.",5,"I feel pity for her, she has just asked for help she won't receive.",5,"I feel extremely sorry for her situation while she is telling the story to the taxi driver, however when she looks at the camera smiling she gives me courage, because she looks tough."
"28","participant 28",4,"I feel like I knew her from a very long time, I feel a kind of affection for her&nbsp;",4,"Funny reaction but very realistic&nbsp;",4,"What she says and how she acts with the stranger is not what she really thinks&nbsp;",4,"She is very funny and credible. Just as if she were a friend of mine.&nbsp;",4,"Strange situation and plausible reaction&nbsp;",4,"She is very stressed out but always ironic and funny.&nbsp;",4,"I feel sorry for her. She is always smiling and trying to diminish the seriousness of her situation but in reality she is suffering a lot.&nbsp;",4,"This happens all the time between sisters, a very credible situation&nbsp;",5,"She is proud and wants to make it on her own",3,"She is being very rude here&nbsp;",4,"Now, on the contrary, she is very sympathetic&nbsp;",5,"She has financial and emotional problems but she do not take things seriously enough.&nbsp;",4,"I do not know this new character yet, but I believe the protagonist is saying the truth when she affirms: ""To be fair, she's not an evil stepmother.She's just a cunt"".&nbsp;",4,"She does not take the reaction of the stepmother seriously and teases her.&nbsp;",4,"I feel pity for the protagonist, I think nobody is really understanding what she needs.&nbsp;",4,"It was objectively dishonest of her to steal the statue, but I can understand her reasons and why she did it and I do not judge her negatively"
"29","participant 29",1,"Honestly I've never had a similar experience so... let's try with the next question.",3,"The situation depicted on the bus is a far more usual and ordinary embarrassing situation I would have avoided",2,"Yeah I know what you mean... perhaps you should better avoid strangers if you don't want to talk to them then",1,"So you are used to turn up at someone else's house drunk in you underwear?",1,"You know what? Do you really want to be treated that way?",3,"I'm really sorry for what happened during the consultation. I honestly believe you when you say it is just a genuine accident, one must give the benefit of doubt",3,"Therefore your childhood wasn't probably the best one with such an example",4,"I know what you mean... sometimes I keep my sister's clothes without telling her",2,"Perhaps try again later, your sister looks stressed and angry now",1,"You have been petty",2,"Now you've been kind to this girl",2,"You're going through difficult times and this makes me sad somehow",3,"I can imagine you would need something else from a father and not these words&nbsp;",2,"You're terrible but I can get your point, you probably can't stand her at all",3,"Your stepmother is quite miserable and petty, I think I an understand why you hate her",3,"I'm sorry for you... your story has been difficult"
"30","participant 30",2,"She is weird, the whole scene was weird.",2,"Still odd situation.",2,"Weird.",1,"Not feeling empathy towards her.",1,"Still thinking she's super weird.",3,"I think she lives strange situations, and the fact she was in a hurry and the man called her slut made me feel some kind of empathy towards her for the first time.",4,"I am sorry for her family situation. She jokes about it, but it is clear that it is something more serious than a joke.&nbsp;",3,"This always happens between me and my sister so I can relate.&nbsp;",4,"She is in tension and I feel nervous for her.",3,"I have to say, the man made me feel uncomfortable, but It's strange that she stole money from him.&nbsp;",4,"The fact that the drunk woman asked her if she was okay and said that she had a sad face made me feel a little bit upset.&nbsp;",3,"She's broke and seems to have no life goals, maybe I like her humour, but I wouldn't want to be in her shoes at all.&nbsp;",5,"I'm sorry that her father wants to call her a cab instead of letting her stay.&nbsp;",4,"Weird situation, but It happened to me to speak with these kinds of people so I can relate.",3,"I feel empathy towards her because I don't like her step mother.",2,"I am sorry for her friend but if I was her, I wouldn't smile in that way talking about my dead friend.&nbsp;"
"31","participant 31",3,"I did not expect this, I laughed. Actually, it was proposed in such a funny way that I did not feel like something wrong was happening (she felt under pressure and did something she did not actually want)",1,"I was quite indifferent in this part",1,"She is amusing. I like her, but I did not have an high empathy level here",2,"I kinda felt bad for him, so I felt less empathy for her and more for him",2,"This part did not actually get me into feeling sympathy for her, I was quite indifferent.",4,"I really felt ""Fremdscham"", which is the term used in German referring to the shame felt for actions done by someone else. Now that I know she is without money, I also feel some kind of pity for her. ",4,"Now I felt pity for her, because of her family situation. I'm actually rooting for her. ",4,"I like her, this made me smile, it is something I could probably do myself, so I feel closer to her.",3,"She's funny, she's very human. She's needing help.",2,"Also here I felt a strong vicarious embarrassment (third-party embarrassment: the feeling of embarrassment from observing the embarrassing actions of another person). Still, that did not cause me to be more empathic towards her.",2,"I did not feel particular empathy here.",1,"I was quite indifferent at this point",5,"Hearing how she talks about herself and that she has low self-esteem and is very self-critical, made me empathize more with her.",2,"She really seems desperate and unlucky.",4,"I think when someone is treated unfairly, or when one gets criticized, as in this case (you look ghastly), I tend to empathize more with him/her. ",5,"Now I really felt pity for her and consequent empathy. She lost a friend of hers, and she still tries to make fun of this. I never empathized with her so much. When we feel bad for people, we feel closer to them. She is clearly suffering."
"32","participant 32",1,"She is free, she can do what she wants but I don’t  like her attitude.&nbsp;",1,"I feel uncomfortable.&nbsp;",2,"In her situation I would neither look at nor talk to the boy.&nbsp;",1,"I repeat: I don't like her. She only cares about herself.&nbsp;",2,"Why does she give the number to such a strange guy? Why does she not answer him badly when he makes a bad joke?&nbsp;",3,"She is really clumsy but the men is equally rude.&nbsp;",2,"It is sad that the two sisters do not have a good bond.",1,"The protagonist is pathetic.&nbsp;",2,"I understand that the situation of the protagonist is difficult and uncomfortable but her behaviour is wrong.&nbsp;",3,"She feels alone and she needs someone.&nbsp;",2,"She feels so alone that she helps this girl but at the end she is still the one who needs help.&nbsp;",4,"She had a really bad day. She needs her best friend.&nbsp;",4,"Her parents are horrible, they have no empathy for their daughter.&nbsp;",1,"The atmosphere is quite strange.&nbsp;",1,"Mother and daughter look alike but do not have an important relationship.&nbsp;",5,"Finally we understand why she acts like that. The protagonist is ironic about her friend's death but in reality she suffers a lot."
